run_date,product,source_scope,outlet,title,url,main_topic,briefing_relevance,quality,noise_type,reason
2026-06-13,nacional,nac-biz,El Mostrador,Contando Chile,https://www.elmostrador.cl/contando-chile,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Al Pan Pan,https://www.elmostrador.cl/noticias/multimedia/al-pan-pan,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Corea del Centro,https://www.elmostrador.cl/noticias/multimedia/corea-del-centro,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Sin Tapujos,https://www.elmostrador.cl/noticias/multimedia/sin-tapujos,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Empieza x acÃ¡,https://www.elmostrador.cl/noticias/multimedia/empieza-x-aca,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,La Semana PolÃ­tica,https://www.elmostrador.cl/noticias/multimedia/la-semana-politica-tv,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Punto por Punto,https://www.elmostrador.cl/noticias/multimedia/punto-por-punto,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,De aquÃ­ no sale,https://www.elmostrador.cl/noticias/multimedia/de-aqui-no-sale,general_informativo,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Hora de conversar,https://www.elmostrador.cl/noticias/multimedia/hora-de-conversar,general_informativo,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Lista de espera,https://www.elmostrador.cl/noticias/multimedia/lista-de-espera,general_informativo,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Entre Hilos,https://www.elmostrador.cl/noticias/multimedia/entre-hilos,general_informativo,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Cita de Libros,https://www.elmostrador.cl/noticias/multimedia/cita-de-libros,cultura,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,Destacados,https://www.elmostrador.cl,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Emol,"""Operación conjunta"": Cómo fue y qué se sabe de la acción que dio muerte al líder del Tren de Aragua",https://www.emol.com/noticias/Internacional/2026/06/13/1202713/nino-guerrero-tren-aragua-eeuu.html,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Emol,"Venezuela confirma muerte del líder del Tren de Aragua y revela que hubo ""enfrentamientos"" durante el operativo",https://www.emol.com/noticias/Internacional/2026/06/13/1202704/venezuela-confirma-muerte-tren-aragua.html,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,Colombia: qué dicen las encuestas finales de cara a la segunda vuelta entre De la Espriella y Cepeda,https://www.ex-ante.cl/colombia-que-dicen-las-encuestas-finales-de-cara-a-la-segunda-vuelta-entre-de-la-espriella-y-cepeda,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,"Quién es Gianni Infantino, el polémico presidente de la FIFA cercano a Trump",https://www.ex-ante.cl/quien-es-gianni-infantino-el-polemico-presidente-de-la-fifa-cercano-a-trump,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,"Trump dice que mañana firmará acuerdo de paz con Irán, pero Teherán cuestiona la fecha",https://www.ex-ante.cl/trump-dice-que-manana-firmara-acuerdo-de-paz-con-iran-pero-teheran-cuestiona-la-fecha,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,La trampa del CAE. Por Kenneth Bunker,https://www.ex-ante.cl/la-trampa-del-cae-por-kenneth-bunker,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,Cuáles son los costos ocultos de la permisología para viviendas sociales que reveló el ministro Poduje,https://www.ex-ante.cl/cuales-son-los-costos-ocultos-de-la-permisologia-para-viviendas-sociales-que-revelo-el-ministro-poduje,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,"Video de la operación: así fue el ataque de EE.UU. que mató al “Niño Guerrero”, máximo líder del Tren de Aragua",https://www.ex-ante.cl/video-de-la-operacion-asi-fue-el-ataque-de-ee-uu-que-mato-al-nino-guerrero-maximo-lider-del-tren-de-aragua,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,El ocaso de Raúl Torrealba: los años de silencio del exalcalde de Vitacura mientras se acerca el juicio por corrupción,https://www.ex-ante.cl/el-ocaso-del-raul-torrealba-los-anos-de-silencio-del-exalcalde-de-vitacura-mientras-se-acerca-el-juicio-por-corrupcion,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,"Perfil: 15 cosas que hay que saber del “Niño Guerrero”, el abatido líder del Tren de Aragua (y sus redes en Chile)",https://www.ex-ante.cl/perfil-15-cosas-que-hay-que-saber-del-nino-guerrero-el-abatido-lider-del-tren-de-aragua-y-sus-redes-en-chile,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ex-Ante,"Quién es Annie Walker, la ejecutiva enviada desde EE.UU. para liderar la potente expansión de Walmart en Chile",https://www.ex-ante.cl/quien-es-annie-walker-la-ejecutiva-enviada-desde-ee-uu-para-liderar-la-potente-expansion-de-walmart-en-chile,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,La Tercera,Perú y sus tres mitades - La Tercera,https://www.latercera.com/opinion/noticia/peru-y-sus-tres-mitades,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,“Se ha transformado en un soldado de la batalla ideológica y cultural”: figuras de la oposición le salen al cruce a Quiroz tras sus dichos sobre Boric y el CAE,https://www.theclinic.cl/2026/06/13/se-ha-transformado-en-un-soldado-de-la-batalla-ideologica-y-cultural-figuras-de-la-oposicion-le-salen-al-cruce-a-quiroz-tras-sus-dichos-sobre-boric-y-el-cae,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,Instituto Nacional vuelve a suspender clases presenciales tras amenazas de tiroteo: Desbordes acusa que SLEP no ha actuado “con la fuerza que se necesita”,https://www.theclinic.cl/2026/06/13/instituto-nacional-vuelve-a-suspender-clases-presenciales-tras-amenazas-de-tiroteo-desbordes-acusa-que-slep-no-ha-actuado-con-la-fuerza-que-se-necesita,educacion,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,"Quién es Carolyn Rodrigues-Birkett, la nueva contrincante de Michelle Bachelet en la carrera por la secretaría general de Naciones Unidas",https://www.theclinic.cl/2026/06/13/quien-es-carolyn-rodrigues-birkett-la-nueva-contrincante-de-michelle-bachelet-en-la-carrera-por-la-secretaria-general-de-naciones-unidas,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,"“Lo más importante es volver el foco a la prevención, más que a la sanción”: Gobierno prepara cambios por vía administrativa a la Ley Karin",https://www.theclinic.cl/2026/06/13/lo-mas-importante-es-volver-el-foco-a-la-prevencion-mas-que-a-la-sancion-gobierno-prepara-cambios-por-via-administrativa-a-la-ley-karin,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,La arremetida de Quiroz contra Boric por el cobro del CAE: “Por algún motivo al expresidente no le gusta que se paguen las deudas”,https://www.theclinic.cl/2026/06/13/la-arremetida-de-quiroz-contra-boric-por-el-cobro-del-cae-por-algun-motivo-al-expresidente-no-le-gusta-que-se-paguen-las-deudas,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,The Clinic,"Personas en situación de autopista: miles de personas duermen en zonas aledañas a autopistas, un refugio donde el riesgo es morir atropellado | The Clinic",https://www.theclinic.cl/2026/06/13/personas-en-situacion-de-autopista-648-personas-duermen-en-dos-autopistas-de-santiago-un-refugio-donde-el-riesgo-es-morir-atropellado,general_informativo,medium,good,none,informative_or_unknown_but_not_filler
